zone_key,event_count,transformer_events,line_events,avg_transformer_capacity_mva,avg_line_capacity_kv,avg_ev_distance_km,lat,lon,dominant_resource,mean_load_2024_mw,mean_stress,mean_predicted_ev_mw,graph_degree,graph_betweenness
Bidnal,403,6,397,10.0,208.25188916876576,85.14186754,15.325662499999998,75.1597363,thermal,,,,3,0.0
Bijapur,73,25,46,25.0,196.08695652173913,6.821100419,16.8119064,75.7797987,thermal,,,,4,0.0
Bijapur City,32,27,5,18.14814814814815,110.0,0.015091894,16.8130561,75.7156897,thermal,,,,3,0.0
Bilagi,77,50,27,18.6,114.07407407407408,53.23427806,16.3415188,75.6285824,thermal,,,,4,0.0
Bisnal,18,17,1,11.764705882352942,110.0,52.43489749,16.3899883,75.498105,thermal,,,,3,0.0
Bommalapura,11,3,8,,66.0,90.08660918,11.734139,76.7280376,thermal,,,,2,0.0
Brigade Tech Gardens Brookefield,1,0,1,,66.0,1.858065799,12.9638087,77.7224299,thermal,,,,1,0.0
Brindavan,27,0,27,,66.0,3.412779591,13.0172903,77.5067265,thermal,,,,2,0.0
Budigere,22,0,22,,66.0,3.761200918,13.142242500000002,77.7352166,thermal,,,,3,0.0
Budikote,7,0,7,,66.0,30.386892210000003,12.9062582,78.13022680000002,thermal,,,,3,0.0
Bukkapattana,5,3,2,15.0,66.0,76.09800805,13.6491007,76.7416571,thermal,,,,2,0.0
Bydagi,21,5,16,20.0,110.0,70.327286,14.6856985,75.4922136,thermal,,,,2,0.0
Bylakuppe,9,1,8,,66.0,104.8375842,12.4397537,75.9867626,thermal,,,,3,0.0037782280079641612
C Station,2,0,2,,66.0,1.284458139,12.9923479,77.5992706,hydro,,,,1,0.0
C.R.Patna,1,0,1,,66.0,46.16387777,12.8788598,76.37211,thermal,,,,1,0.0
Chakavelu,1,0,1,,66.0,80.87693706,13.8206676,78.0931259,thermal,,,,1,0.0
Challakere,62,0,62,,204.33898305084745,150.0984102,14.3077527,76.6340638,thermal,,,,3,0.0
Chamarajanagara,1,0,1,,66.0,100.0935236,11.9504756,76.9385296,thermal,,,,1,0.0
Chandakavathe,3,2,1,20.0,110.0,47.64334206,16.9637782,76.1348325,thermal,,,,1,0.0
Chandapura,5,0,5,,66.0,14.540279620000002,12.7986198,77.7077254,thermal,,,,1,0.0
Chandra Layout,3,0,3,,80.66666666666667,4.30710392,12.9586999,77.5287134,thermal,,,,3,0.048360000653521557
Channapatna,18,0,18,,143.0,18.56323427,12.6510379,77.2055036,thermal,,,,3,0.0035219791274151927
Chelur,32,0,32,,181.5,54.37963798,13.4411631,76.9084363,thermal,,,,5,0.0
Chikkajajuru,32,0,27,,108.81481481481481,148.8875797,14.146385,76.1377925,thermal,,,,1,0.0
Chikkanayakanahalli,4,0,4,,220.0,52.39257278,13.4086152,76.6218652,thermal,,,,1,0.0
Chikkodi,199,37,162,22.12121212121212,156.17283950617283,57.88467796,16.4448828,74.5995324,thermal,,,,4,0.0
Chimangala,6,0,6,,168.66666666666666,25.11160578,13.3096364,77.9089203,thermal,,,,2,0.0
Chincholi,7,0,7,,110.0,76.6079894,17.4419795,77.4255338,thermal,,,,1,0.0
Chintamani Substation,27,0,27,,83.11111111111111,43.95044745,13.3822964,78.0665467,thermal,,,,1,0.0
Chitapur,12,1,11,,110.0,29.57515644,17.1315748,77.0914022,thermal,,,,2,0.0
Chitradurga Traction,72,20,52,100.0,158.80769230769232,146.0309236,14.234461200000002,76.4375206,thermal,,,,4,0.0
Chokkasandra,1,0,1,,66.0,6.356116982,12.8736288,77.7294744,thermal,,,,1,0.0
Chowdanakuppe,10,0,10,,158.4,26.429641660000005,12.8654871,77.1093487,thermal,,,,2,0.0
Chowdapur,7,0,7,,125.71428571428571,59.94100003,17.2320026,76.55186919999998,thermal,,,,2,0.0
Cleanmax,1,1,0,,,35.21017007,17.1109095,77.239358,thermal,,,,1,0.0
Daddi,26,8,18,11.25,110.0,19.0432958,16.0874133,74.4621461,thermal,,,,3,0.0
Dambal,104,2,102,15.0,110.0,125.1348627,15.3086732,75.7663387,thermal,,,,3,0.0
Davanagere,49,8,41,100.0,210.6829268292683,118.5710137,14.433929,75.925413,thermal,,,,4,0.0
Devanagaon,5,1,4,10.0,110.0,74.11907163,17.1556508,76.3135089,thermal,,,,2,0.0
Devaragennur,8,6,2,10.0,110.0,38.84623093,16.5200138,75.5169798,thermal,,,,3,0.0
Devarahipparagi,1,0,1,,110.0,39.99186229,16.8244778,76.0912581,thermal,,,,1,0.0
Dhavleshwar,10,9,1,11.11111111111111,110.0,74.45713009,16.3436169,75.0762814,thermal,,,,2,0.0
Dhulked,1,0,1,,110.0,65.77054448,17.3926654,75.8384536,thermal,,,,1,0.0
Dibburahalli,30,0,30,,66.0,45.11674903,13.556547,77.9015783,thermal,,,,4,0.0
Doddaguni,8,2,6,12.5,183.33333333333334,40.43489859,13.327228,76.7433669,thermal,,,,2,0.0
Doni,68,5,63,,280.0,124.2771427,15.3287345,75.739838,thermal,,,,6,0.1158541746805168
Dubalgundi,4,3,1,,110.0,109.3410265,17.8514339,77.1805004,thermal,,,,2,0.0
Electronic City Phase 2,13,0,13,,66.0,8.429319532,12.844558,77.6758892,thermal,,,,3,0.0005061851099231166
Enercon,16,0,16,,189.75,66.8324058,15.8079155,75.1412394,thermal,,,,5,0.053911234905298464
Enercon Bellati,8,0,8,,110.0,110.9436903,15.1056765,75.7457946,thermal,,,,2,0.0
Essur,2,0,2,,110.0,71.23837291,14.2177409,75.3527467,hydro,,,,2,0.010664781276216704
