zone_key,event_count,transformer_events,line_events,avg_transformer_capacity_mva,avg_line_capacity_kv,avg_ev_distance_km,lat,lon,dominant_resource,mean_load_2024_mw,mean_stress,mean_predicted_ev_mw,graph_degree,graph_betweenness
Hiremural,4,0,4,,110.0,76.8328702,16.3069319,76.2066389,thermal,,,,3,0.036646426097079465
Hiresindhogi,1,1,0,,,153.8307398,15.3060452,76.0876589,thermal,,,,1,0.0
Hirisave,2,0,2,,66.0,23.854887,12.9522586,76.5688448,thermal,,,,1,0.0
Hiriyadka,41,0,41,,112.6829268292683,38.52053322,13.346543200000001,74.8736323,thermal,,,,3,0.0
Hiriyuru,44,8,36,,147.27777777777777,113.4956635,13.9739831,76.6217661,thermal,,,,4,0.0
Honaga,3,0,3,,110.0,3.3305346519999994,15.9581098,74.5231261,thermal,,,,2,0.0
Honnali,26,0,26,,148.92307692307693,100.6718137,14.2173655,75.6765942,thermal,,,,3,0.0
Honnalli,234,13,220,29.1,169.1,100.5251216,11.8334318,76.9107348,thermal,,,,8,0.00270478983815003
Honnavalli,20,2,18,10.0,110.0,58.62983495000001,13.3196698,76.3866922,thermal,,,,4,0.02681747550374741
Hoody Traction,13,0,13,,162.76923076923077,2.569577572,12.9966455,77.7277991,thermal,,,,2,0.0
Hosadurga,84,15,68,25.3125,149.13432835820896,112.68166330000001,13.8280023,76.2403831,thermal,,,,3,0.0
Hosakere,12,2,10,60.0,100.22222222222223,81.81038377,13.7598621,77.2005176,thermal,,,,3,0.0
Hosangadi,18,0,18,,110.0,78.19437968,13.6947399,74.9537306,thermal,,,,1,0.0
Hoskote,34,0,34,,66.0,11.89050436,13.0722055,77.7887654,thermal,,,,4,0.0
Hosur,10,0,10,,220.0,23.47180765,12.7279265,77.8135228,thermal,,,,2,0.0
Hosur Gate,7,0,7,,66.0,94.5522759,12.2365047,76.2709895,thermal,,,,2,0.0
Hubli,255,17,238,17.647058823529413,186.07563025210084,83.93575817,15.3283704,75.1234929,thermal,,,,4,0.0
Hudali,71,9,62,10.0,115.3225806451613,15.46702479,15.971864499999999,74.6666746,hydro,,,,4,0.0
Hukkeri,79,24,55,17.391304347826086,118.0,35.25881324,16.2405531,74.5889914,thermal,,,,3,0.0
Hulikal,8,0,8,,110.0,83.64621244,13.7300264,75.0140638,hydro,,,,1,0.0
Huliyar,6,0,6,,146.66666666666666,73.86116809,13.581282199999999,76.5306877,hydro,,,,2,0.0
Huliyurudurga,3,1,1,12.5,66.0,30.420788669999997,12.833128800000003,77.0337086,thermal,,,,1,0.0
Hullenahalli,36,0,36,,78.83333333333333,38.88232222,13.1073988,77.1169053,thermal,,,,4,0.001503584258083319
Humnabad,19,3,16,,130.625,98.10194745,17.7614756,77.0994397,thermal,,,,4,0.03303525563840069
Hunagund,57,9,48,15.555555555555555,110.0,93.12226918000002,16.045548,76.0653959,thermal,,,,2,0.0
Hunsur,107,1,106,,73.26415094339623,90.52595177,12.3131383,76.2904073,thermal,,,,3,0.0
IISc MUSS,3,0,3,,66.0,1.761707149,13.0151688,77.5635497,thermal,,,,1,0.0
ISRO Layout Substation,2,0,2,,66.0,1.008330003,12.8984754,77.5569842,thermal,,,,1,0.0
ITI,34,2,32,,128.5625,0.547964458,13.0050908,77.6865981,thermal,,,,4,0.0
Iggaluru,7,0,7,,66.0,38.62351669000001,12.4741516,77.13610000000001,thermal,,,,3,0.0
Ilakal,6,1,5,20.0,110.0,103.70344289999998,15.9584093,76.1051745,hydro,,,,2,0.0
Indi,38,12,26,10.0,186.15384615384616,46.82699091,17.1648043,75.9576415,thermal,,,,3,0.0
Itagi,58,1,57,,77.57894736842105,138.9806095,14.9560036,76.0879394,thermal,,,,1,0.0
Itnal,74,29,45,17.24137931034483,110.0,67.67238303,16.3961409,74.9349289,thermal,,,,3,0.0
