location_zone_key,outage_events_total,transformer_events_total,line_events_total,avg_nearest_ev_distance_km,avg_transformer_capacity_mva,avg_line_capacity_kv,lat,lon,outage_days,daily_outage_mean,daily_outage_p95,ev_service_gap_score,grid_reliability_stress_score,infra_capacity_pressure_score,priority_score_0_100,recommended_station_action
Chikkajajuru,32,0,27,148.8875797,,108.81481481481481,14.146385,76.1377925,25,1.28,2.0,100.0,10.56,57.38333333333333,58.04,add_incremental_charging_capacity
Rangenahalli,29,0,29,123.4262979,,204.06896551724137,14.0738621,76.7135905,26,1.1153846153846154,2.0,100.0,10.32,57.68333333333334,58.03,add_incremental_charging_capacity
Muddebihal,35,14,21,69.32160765,18.571428571428573,110.0,16.3315859,76.1290927,22,1.5909090909090908,3.0,100.0,18.3,46.22692307692307,57.96,add_incremental_charging_capacity
Venkatagiri,16,3,13,166.8057613,,110.0,15.4644134,76.448949,12,1.3333333333333333,2.4499999999999993,100.0,11.829999999999997,55.28333333333334,57.96,add_incremental_charging_capacity
Gokak,51,29,22,42.15964986,19.310344827586206,105.5,16.1612844,74.8407285,41,1.2439024390243902,2.0,100.0,19.33,44.72857142857143,57.95,add_incremental_charging_capacity
Hanagal,44,31,13,196.69454780000004,18.70967741935484,72.76923076923077,14.7330795,76.6999148,28,1.5714285714285714,2.0,100.0,19.27,44.70862068965517,57.92,add_incremental_charging_capacity
Shanivarasanthe,25,3,22,100.0574663,,66.0,12.7178805,75.901444,17,1.4705882352941178,2.0,100.0,10.75,56.63333333333333,57.92,add_incremental_charging_capacity
Arasikere,18,2,16,69.46647014,,129.25,13.3062601,76.2503309,14,1.2857142857142858,2.3499999999999996,100.0,11.339999999999998,55.733333333333334,57.9,add_incremental_charging_capacity
Bargur,27,0,27,21.13407508,,71.70370370370371,12.5468292,78.3363207,23,1.173913043478261,2.0,100.0,10.16,57.38333333333333,57.9,add_incremental_charging_capacity
Gurupura,27,0,27,15.536849300000002,,110.0,12.9474148,74.922424,22,1.2272727272727273,2.0,100.0,10.16,57.38333333333333,57.9,add_incremental_charging_capacity
Honnali,26,0,26,100.6718137,,148.92307692307693,14.2173655,75.6765942,23,1.1304347826086956,2.0,100.0,10.08,57.233333333333334,57.84,add_incremental_charging_capacity
Bannur,26,0,26,70.53285926,,66.0,12.3265286,76.8609844,22,1.1818181818181819,2.0,100.0,10.08,57.233333333333334,57.84,add_incremental_charging_capacity
Hirebevanura,14,0,14,59.38012643999999,,110.0,17.2378754,76.0539562,10,1.4,2.549999999999999,100.0,11.319999999999997,55.43333333333334,57.82,add_incremental_charging_capacity
Gabbur,14,1,13,56.56254912000001,,110.0,16.2989028,77.15125909999999,11,1.2727272727272727,2.5,100.0,11.370000000000001,55.28333333333334,57.8,add_incremental_charging_capacity
